"Active";"PersonUid";"FirstName";"LastName";"MiddleName";"Ssn";"BirthDate";"DeceasedBool";"Gender";"Address"
1;"0030f77d-2cd7-400e-ba57-691a3d23f02f";"Kati";"Nunley";"Emmeline";"480-22-3299";"1978-04-04";0;"Male";"Meadville, PA 16335 98 South Hawthorne St."
1;"0079da7b-76e2-439d-b1f2-5299c4a61115";"Petronia";"Bolling";"Kynthia";"544-69-3186";"1966-01-03";0;"Male";"New Britain, CT 06051 19 Morris Dr."
1;"01167ee4-f1d7-41da-a3e3-288f724e2d04";"Gunilla";"Blevins";"Kym";"631-82-3476";"1971-02-02";0;"Male";"Naugatuck, CT 06770 8724 Manor St."
1;"0118937d-4d72-4636-a248-958d54eb5161";"Kettie";"Caraway";"Basia";"341-94-7807";"1972-03-02";0;"Male";"Virginia Beach, VA 23451 846 Smith Store Drive"
1;"013caa97-d296-4612-ba60-2cd9cd68cadb";"Ondrea";"Walston";"Linell";"057-47-9970";"1962-02-01";0;"Female";"Cranberry Twp, PA 16066 15 Lake Rd."
1;"01549181-232c-4f77-a898-d5b76cd80684";"Lindsey";"Spaulding";"Sheilah";"769-18-4656";"1963-03-01";0;"Female";"7 School Ave.  Buffalo, NY 14215"
1;"01bedbda-87bb-4b8a-9237-0470219d7142";"Chryste";"Tomlin";"Nikolia";"238-67-9219";"1968-04-05";0;"Male";"9270 Galvin Lane  Plainview, NY 11803"
1;"01e9f362-411e-452b-a38d-14a588cf6518";"Simona";"Driver";"Lynna";"614-94-2216";"1974-04-02";0;"Male";"Wenatchee, WA 98801 7356 Smith Dr."
1;"022169bf-b707-42f0-95b2-800b6cefb36c";"Catherine";"Armenta";"Carlyn";"389-09-3560";"1970-01-05";1;"Female";"Fond Du Lac, WI 54935 148 Van Dyke Dr."
1;"0244da46-f689-478b-af17-cc9175cd80d3";"Saree";"Krueger";"La Verne";"565-89-0162";"1971-04-01";0;"Male";"Chambersburg, PA 17201 827 North Berkshire Dr."
1;"02d6aa26-c730-4f49-975f-5024624c6b37";"Kyla";"Rector";"Peggy";"623-76-3657";"1967-02-05";0;"Male";"8603 Valley Dr.  Olympia, WA 98512"
1;"02f873c4-5ba7-4ebb-aa98-e63149105c19";"Fionnula";"Drury";"Myriam";"189-25-9891";"1975-01-01";0;"Female";"Lumberton, NC 28358 95 Pumpkin Hill Drive"
1;"0346526c-1e68-439b-9837-b688598799c9";"Tabbi";"Rawls";"Alene";"429-02-7629";"1973-01-05";0;"Male";"Virginia Beach, VA 23451 846 Smith Store Drive"
1;"0378673b-803d-4bb6-800f-56c9144cfbe2";"Caitrin";"Ayers";"Bellanca";"984-81-1947";"1965-02-01";0;"Male";"325 Richardson St.  Largo, FL 33771"
1;"039c12e1-10a2-4398-a203-46b293d77fa4";"Lebbie";"Royer";"Editha";"221-07-3088";"1968-01-01";0;"Male";"Vienna, VA 22180 99 West Oak Lane"
1;"03a52e7e-fc4a-4123-ba36-c96d428f35f7";"Cathrine";"Knutson";"Aggi";"682-26-2237";"1980-01-05";0;"Female";"131 Arcadia Street  Bronx, NY 10451"
1;"03ef178b-2b94-4e6c-bc45-a33125c2e8c3";"Cally";"Goforth";"Talia";"502-55-8200";"1970-03-01";0;"Male";"Chambersburg, PA 17201 827 North Berkshire Dr."
1;"040098d0-f937-4747-ac2d-96437ce1f951";"Bernetta";"Christian";"Delila";"899-35-2216";"1962-04-01";0;"Female";"Stamford, CT 06902 599 East Hudson Court"
1;"0408c294-d931-4cc2-b537-8e5302b43578";"Rivy";"Boren";"Tamqrah";"621-88-7150";"1984-01-04";0;"Male";"Plattsburgh, NY 12901 51 Cedar Swamp Avenue"
1;"041865c6-c00a-4da1-998c-f71906f21190";"Maiga";"Ridgeway";"Glennis";"160-21-1609";"1962-04-01";0;"Female";"10 West Railroad Ave.  Glen Burnie, MD 21060"
1;"041eb1de-6336-4db2-ba64-45169c956f05";"Alyda";"Fisher";"Sonnnie";"599-47-4980";"1979-04-03";0;"Male";"Endicott, NY 13760 29 Glenholme Drive"
1;"0436b6f5-8270-417a-9470-d54568ba5d55";"Ealasaid";"Slater";"Jo";"443-90-3472";"1965-01-02";0;"Male";"Circle Pines, MN 55014 8203 Academy Drive"
1;"049edbcf-a54c-4c5a-a918-b2ca10d46c33";"Henrietta";"Dunlap";"Arielle";"319-02-5626";"1975-04-01";0;"Male";"Saratoga Springs, NY 12866 7 High Ridge Dr."
1;"04c65c91-db3d-4a98-9f5e-46be36d2f98f";"Linn";"Nevarez";"Kizzie";"709-07-7379";"1967-01-02";0;"Male";"131 Arcadia Street  Bronx, NY 10451"
1;"0546d145-6777-453c-8b65-452453b62dd8";"Sonja";"Cahill";"Petronella";"547-79-0068";"1961-03-05";0;"Male";"8297 South Oak Meadow St.  Logansport, IN 46947"
1;"055a1663-a3a8-4303-abe2-b44a410b0b17";"Lorelle";"Mcneil";"Hildegarde";"125-08-4019";"1967-02-03";0;"Female";"Mc Lean, VA 22101 16 Edgemont St."
